Thu Nov 14 2019 18:47:05 GMT-0800 (PST)
Time (s),Topic,Payload
0.06,float_pressure,1.54
0.277,float_pressure,1.54
0.279,float_pressure,1.54
0.365,float_pressure,1.54
0.472,float_pressure,1.54
0.574,float_pressure,1.54
0.775,float_pressure,1.54
0.777,float_pressure,2.02
0.969,float_pressure,1.54
1.175,float_pressure,1.54
1.176,float_pressure,1.06
1.372,float_pressure,1.54
1.373,float_pressure,1.54
1.475,float_pressure,1.54
1.678,float_pressure,1.54
1.679,float_pressure,1.54
1.698,float_pressure,1.06
1.873,float_pressure,2.02
2.075,float_pressure,1.54
2.076,float_pressure,1.54
2.271,float_pressure,2.02
2.273,float_pressure,1.54
2.371,float_pressure,1.06
2.47,float_pressure,1.54
2.677,float_pressure,1.54
2.679,float_pressure,1.54
2.883,float_pressure,1.54
2.886,float_pressure,1.54
3.083,float_pressure,1.54
3.085,float_pressure,1.54
3.13,float_pressure,1.54
3.279,float_pressure,1.54
3.489,float_pressure,4.41
3.49,float_pressure,1.06
3.678,float_pressure,1.54
3.68,float_pressure,1.54
4.112,float_pressure,1.54
4.114,float_pressure,1.54
4.116,float_pressure,1.54
4.117,float_pressure,1.54
4.164,float_pressure,1.54
4.271,float_pressure,1.54
4.482,float_pressure,1.54
4.484,float_pressure,1.54
4.565,float_pressure,1.54
4.669,float_pressure,1.54
4.778,float_pressure,1.54
4.874,float_pressure,1.54
5.078,float_pressure,1.54
5.078,float_pressure,1.54
5.178,float_pressure,1.54
5.369,float_pressure,1.54
5.477,float_pressure,1.54
5.575,float_pressure,1.06
5.679,float_pressure,1.54
5.876,float_pressure,1.06
5.877,float_pressure,1.54
5.892,float_pressure,1.06
6.083,float_pressure,1.54
6.183,float_pressure,1.54
6.381,float_pressure,1.54
6.381,float_pressure,1.54
6.476,float_pressure,2.02
6.687,float_pressure,1.54
6.688,float_pressure,1.54
6.875,float_pressure,1.54
6.876,float_pressure,1.54
7.077,float_pressure,1.54
7.078,float_pressure,1.54
7.287,float_pressure,1.54
7.288,float_pressure,1.54
7.328,float_pressure,1.54
7.556,float_pressure,1.54
7.686,float_pressure,1.54
7.687,float_pressure,1.54
7.869,float_pressure,1.54
7.87,float_pressure,1.54
7.975,float_pressure,1.54
8.184,float_pressure,1.54
8.185,float_pressure,1.54
8.378,float_pressure,1.54
8.379,float_pressure,1.54
8.58,float_pressure,1.54
8.581,float_pressure,1.54
8.657,float_pressure,1.54
8.777,float_pressure,1.54
8.967,float_pressure,1.54
8.967,float_pressure,1.54
9.085,float_pressure,1.54
9.203,float_pressure,1.54
9.393,float_pressure,1.54
9.394,float_pressure,-0.85
9.577,float_pressure,1.54
9.771,float_pressure,1.54
9.772,float_pressure,5.36
9.877,float_pressure,1.54
9.976,float_pressure,1.06
9.989,float_pressure,1.06
